,Fat,Saturated fat,Cholesterol,Totalcarbohydrates,Sodium,Dietary Fiber,Protein,Added sugars,Vitamin C,Calcium,Iron,Vitamin E,Thiamin,Riboflavin,Niacin,Vitamin B6,Pantothenic acid,Phosphorus,Magnesium,Zinc,Copper,Manganese,Chloride,Potassium,Choline,Vitamin A,Vitamin D,Vitamin K,Folate6,Vitamin B12,Biotin,Iodine,Selenium,Chromium,Molybdenum
almond,71.2,0.0,0.0,0.0,9.9,0.0,42.0,0.0,0.0,26.7,19.4,161.3,3.4,72.2,19.8,0.0,0.0,40.6,66.4,29.9,103.8,0.0,0.0,15.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0
amaretto,12.8,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchovy,12.4,0.0,28.3,0.0,159.6,0.0,57.8,0.0,0.0,17.8,25.7,22.2,6.5,27.9,124.4,0.0,0.0,20.2,16.4,22.2,37.7,0.0,0.0,11.6,15.5,1.3,8.5,10.1,0.0,0.0,0.0,0.0,123.8,0.0,0.0
apple,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple juice,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,11.4,0.6,0.7,0.1,1.8,1.3,0.5,0.0,0.0,0.6,1.2,0.2,1.3,0.0,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
apricot,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artichoke,8.6,0.0,0.0,0.0,13.0,0.0,3.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arugula,0.8,0.0,0.0,0.0,1.3,0.0,4.7,0.0,15.7,13.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asian pear,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.2,0.3,0.0,0.8,0.8,0.8,1.4,0.0,0.0,0.9,1.9,0.2,5.6,0.0,0.0,2.6,0.9,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0
asparagus,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,6.6,1.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
